日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/01/03,25.28,25.50,25.19,25.49,+0.09,"11,364"
112/01/04,25.49,25.55,25.41,25.45,-0.04,"8,143"
112/01/05,25.55,25.60,25.43,25.46,+0.01,"9,142"
112/01/06,25.45,25.68,25.45,25.66,+0.20,"11,065"
112/01/09,25.90,25.96,25.80,25.94,+0.28,"14,805"
112/01/10,25.98,26.07,25.97,26.06,+0.12,"12,805"
112/01/11,26.07,26.15,26.06,26.07,+0.01,"7,761"
112/01/12,26.08,26.11,25.92,25.99,-0.08,"10,924"
112/01/13,26.05,26.12,25.98,25.98,-0.01,"10,167"
112/01/16,26.05,26.07,26.00,26.02,+0.04,"15,128"
112/01/17,26.04,26.07,26.01,26.06,+0.04,"8,639"
112/01/30,26.47,26.55,26.40,26.53,+0.47,"23,765"
112/01/31,26.55,26.68,26.53,26.54,+0.01,"15,484"
112/02/01,26.60,26.68,26.59,26.67,+0.13,"10,764"
112/02/02,26.81,27.00,26.78,26.99,+0.32,"17,206"
112/02/03,27.00,27.05,26.85,27.0,+0.01,"14,316"
112/02/06,26.98,26.98,26.85,26.92,-0.08,"25,009"
112/02/07,26.91,26.96,26.85,26.94,+0.02,"9,026"
112/02/08,27.03,27.17,27.02,27.15,+0.21,"10,767"
112/02/09,27.14,27.17,27.04,27.15, 0.00,"8,023"
112/02/10,27.15,27.15,26.97,27.02,-0.13,"16,426"
112/02/13,26.99,27.01,26.82,26.97,-0.05,"16,658"
112/02/14,27.01,27.15,27.01,27.13,+0.16,"7,479"
112/02/15,27.13,27.16,27.03,27.05,-0.08,"14,125"
112/02/16,27.07,27.35,27.07,27.33,+0.28,"18,749"
112/02/17,27.23,27.25,27.17,27.24,-0.09,"10,504"
112/02/20,27.27,27.42,27.25,27.41,+0.17,"11,795"
112/02/21,27.41,27.55,27.36,27.53,+0.12,"17,948"
112/02/22,27.38,27.42,27.24,27.4,-0.13,"18,783"
112/02/23,27.40,27.78,27.40,27.74,+0.34,"20,520"
112/02/24,27.77,27.85,27.65,27.67,-0.07,"25,509"
112/03/01,27.58,27.72,27.42,27.72,+0.05,"18,349"
112/03/02,27.73,27.79,27.57,27.78,+0.06,"11,403"
112/03/03,27.85,28.00,27.85,27.95,+0.17,"10,902"
112/03/06,28.07,28.30,28.07,28.25,+0.30,"19,148"
112/03/07,28.29,28.40,28.20,28.38,+0.13,"11,482"
112/03/08,28.29,28.37,28.18,28.37,-0.01,"15,235"
112/03/09,28.37,28.38,28.21,28.24,-0.13,"12,042"
112/03/10,28.00,28.01,27.83,27.86,-0.38,"34,293"
112/03/13,27.70,27.96,27.55,27.93,+0.07,"28,366"
112/03/14,27.73,27.79,27.60,27.66,-0.27,"19,650"
112/03/15,27.81,27.92,27.66,27.66, 0.00,"16,120"
112/03/16,27.57,27.60,27.40,27.5,-0.16,"28,683"
112/03/17,27.55,27.76,27.54,27.76,+0.26,"14,421"
112/03/20,27.77,27.81,27.70,27.76, 0.00,"11,992"
112/03/21,27.80,27.90,27.80,27.84,+0.08,"6,221"
112/03/22,27.91,28.08,27.91,28.05,+0.21,"8,393"
112/03/23,28.03,28.21,28.03,28.12,+0.07,"9,061"
112/03/24,28.16,28.28,28.12,28.26,+0.14,"9,780"
112/03/27,28.26,28.37,28.20,28.31,+0.05,"17,696"
112/03/28,28.31,28.33,28.05,28.06,-0.25,"17,971"
112/03/29,28.06,28.23,28.05,28.15,+0.09,"6,898"
112/03/30,28.28,28.32,28.20,28.29,+0.14,"8,884"
112/03/31,28.37,28.55,28.37,28.43,+0.14,"11,274"
112/04/06,28.43,28.47,28.28,28.47,+0.04,"18,156"
112/04/07,28.48,28.52,28.41,28.43,-0.04,"9,206"
112/04/10,28.45,28.52,28.42,28.5,+0.07,"10,140"
112/04/11,28.50,28.72,28.50,28.7,+0.20,"10,006"
112/04/12,28.70,28.85,28.70,28.85,+0.15,"8,990"
112/04/13,28.85,28.85,28.70,28.71,-0.14,"15,993"
112/04/14,28.71,28.76,28.64,28.74,+0.03,"9,477"
112/04/17,28.74,28.82,28.72,28.8,+0.06,"12,555"
112/04/18,28.83,28.85,28.61,28.67,-0.13,"13,985"
112/04/19,28.67,28.74,28.53,28.55,-0.12,"11,209"
112/04/20,28.48,28.52,28.37,28.43,-0.12,"12,040"
112/04/21,28.43,28.50,28.16,28.19,-0.24,"19,648"
112/04/24,28.18,28.31,28.08,28.27,+0.08,"9,111"
112/04/25,28.30,28.33,27.74,27.8,-0.47,"47,004"
112/04/26,27.70,27.84,27.61,27.84,+0.04,"20,828"
112/04/27,27.85,28.11,27.77,28.02,+0.18,"7,504"
112/04/28,28.18,28.25,28.13,28.23,+0.21,"6,495"
112/05/02,28.25,28.44,28.20,28.44,+0.21,"8,898"
112/05/03,28.38,28.42,28.28,28.42,-0.02,"9,788"
112/05/04,28.34,28.45,28.28,28.45,+0.03,"5,948"
112/05/05,28.45,28.49,28.43,28.47,+0.02,"7,172"
112/05/08,28.52,28.69,28.52,28.67,+0.20,"11,660"
112/05/09,28.67,28.69,28.53,28.64,-0.03,"8,134"
112/05/10,28.64,28.65,28.50,28.54,-0.10,"10,471"
112/05/11,28.54,28.57,28.38,28.4,-0.14,"12,370"
112/05/12,28.37,28.47,28.19,28.45,+0.05,"8,469"
112/05/15,28.41,28.45,28.30,28.42,-0.03,"11,731"
112/05/16,28.43,28.71,28.43,28.65,+0.23,"10,832"
112/05/17,28.65,28.83,28.62,28.76,+0.11,"9,888"
112/05/18,28.85,29.11,28.85,29.05,+0.29,"15,497"
112/05/19,29.13,29.35,29.08,29.31,+0.26,"13,686"
112/05/22,29.32,29.44,29.31,29.35,+0.04,"10,386"
112/05/23,29.37,29.44,29.24,29.37,+0.02,"9,567"
112/05/24,29.33,29.44,29.26,29.43,+0.06,"8,730"
112/05/25,29.70,29.82,29.59,29.78,+0.35,"14,193"
112/05/26,29.91,30.25,29.91,30.13,+0.35,"21,960"
112/05/29,30.60,30.74,30.55,30.65,+0.52,"28,321"
112/05/30,30.69,30.76,30.44,30.52,-0.13,"24,672"
112/05/31,30.52,30.60,30.43,30.49,-0.03,"14,457"
112/06/01,30.47,30.47,30.35,30.47,-0.02,"12,071"
112/06/02,30.60,31.14,30.60,30.93,+0.46,"21,625"
112/06/05,30.95,31.13,30.88,31.1,+0.17,"19,639"
112/06/06,31.10,31.21,31.01,31.15,+0.05,"17,864"
112/06/07,31.16,31.50,31.16,31.46,+0.31,"15,139"
112/06/08,31.46,31.48,31.22,31.24,-0.22,"23,620"
112/06/09,31.40,31.80,31.40,31.78,+0.54,"16,321"
112/06/12,31.85,32.05,31.69,31.78, 0.00,"33,047"
112/06/13,31.96,32.25,31.95,32.2,+0.42,"32,031"
112/06/14,32.20,32.46,32.17,32.32,+0.12,"23,543"
112/06/15,32.45,32.80,32.45,32.69,+0.37,"27,789"
112/06/16,32.77,32.99,32.52,32.78,+0.09,"22,778"
112/06/19,32.77,32.79,32.60,32.73,-0.05,"17,545"
112/06/20,32.68,32.69,32.35,32.48,-0.25,"23,660"
112/06/21,32.48,32.87,32.43,32.83,+0.35,"14,954"
112/06/26,32.70,32.80,32.50,32.77,-0.06,"19,906"
112/06/27,32.64,32.64,32.13,32.18,-0.59,"36,035"
112/06/28,32.28,32.48,32.28,32.3,+0.12,"11,057"
112/06/29,32.47,32.67,32.40,32.53,+0.23,"10,314"
112/06/30,32.53,32.67,32.42,32.67,+0.14,"10,489"
112/07/03,32.89,33.33,32.89,33.24,+0.57,"21,423"
112/07/04,33.51,34.00,33.45,33.91,+0.67,"35,783"
112/07/05,33.99,33.99,33.53,33.71,-0.20,"35,353"
112/07/06,33.42,33.74,33.25,33.34,-0.37,"45,088"
112/07/07,33.17,33.30,32.87,33.08,-0.26,"43,972"
112/07/10,33.08,33.33,33.08,33.18,+0.10,"21,540"
112/07/11,33.42,33.82,33.42,33.8,+0.62,"18,230"
112/07/12,33.95,34.35,33.93,34.3,+0.50,"27,594"
112/07/13,34.85,35.46,34.62,34.82,+0.52,"45,381"
112/07/14,35.35,35.60,34.88,35.54,+0.72,"40,045"
112/07/17,35.55,35.96,35.55,35.94,+0.40,"53,418"
112/07/18,35.64,35.70,34.61,35.11,X0.00,"47,015"
112/07/19,35.29,35.50,34.24,34.36,-0.75,"46,746"
112/07/20,34.34,34.82,34.25,34.71,+0.35,"20,672"
112/07/21,34.26,35.40,34.25,35.26,+0.55,"28,557"
112/07/24,35.54,36.04,35.27,35.99,+0.73,"45,978"
112/07/25,36.25,36.60,36.04,36.05,+0.06,"35,836"
112/07/26,36.05,36.30,35.73,36.02,-0.03,"26,125"
112/07/27,36.34,36.53,36.02,36.1,+0.08,"19,294"
112/07/28,36.18,36.60,35.82,36.58,+0.48,"30,372"
